C105428,C105428,4.7K R0603
C129272,C129272,22uF C3216
C131314,C131314,Level shifter 
C14663,C14663,100nF C0603
C15849,C15849,1uF C0603
C15850,C15850,10uF C0805
C160404,C160404,SH 1mm 1x4
C1647,C1647,18pF C0603
C194628,C194628,TVS diode 
C21190,C21190,1K R0603
C22843,C22843,1.5K R0603
C2286,C2286,Red 0603
C2288,C2288,Blue 0603
C23151,C23151,390R R0603
C23162,C23162,4.7K R0603
C23193,C23193,510R R0603
C23345,C23345,22R R0603
C23630,C23630,2.2uF C0603
C25804,C25804,10K R0603
C2892673,C2892673,Diode DO-214
C3025164,C3025164,Opto coupler 
C40946,C40946,MicroUSB 
C41330,C41330,Ferrite L0805
C4190,C4190,2.2K R0603
C50278,C50278,MPU6500 
C57112,C57112,10nF C0603
C6186,C6186,AMS1117-3.3 
C720477,C720477,Button SMD
C779453,C779453,Green 0603
C82317,C82317,SPI flash SOIC-8
C8322,C8322,F103RET6 
C8598,C8598,Diode SOD-123
C8678,C8678,Diode DO-214
C8734,C8734,F103C8T6 
C9002,C9002,12MHz 
C965555,C965555,WS2812B 2020
C965805,C965805,Green 0603
C965807,C965807,Blue 0603
